id_categorie_billet;id_salle;nom_salle;categorie_billet;jauge_categorie_billet;type_tarif;id_cat_profil;id_cat_horaire;profil_tarif;horaire_tarif;tarif_brut
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP001;CH004;Plein tarif;Samedi 14h & dimanche à 20h30;26
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP002;CH002;Moins de 30 ans + plus de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;26
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP002;CH003;Moins de 30 ans + plus de 28 ans;Vendredi & samedi à 20h30;26
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP002;CH004;Moins de 30 ans + plus de 28 ans;Samedi 14h & dimanche à 20h30;26
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP003;CH002;Moins de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;16
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP003;CH003;Moins de 28 ans;Vendredi & samedi à 20h30;16
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP003;CH004;Moins de 28 ans;Samedi 14h & dimanche à 20h30;16
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP004;CH002;Demandeurs d'emploi;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;16
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP004;CH003;Demandeurs d'emploi;Vendredi & samedi à 20h30;16
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP004;CH004;Demandeurs d'emploi;Samedi 14h & dimanche à 20h30;16
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP005;CH001;Minima Sociaux;Horaire Indifférencié;12
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP006;CH001;Personne en situation de handicap adulte;Horaire Indifférencié;20
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP007;CH001;Personne en situation de handicap moins de 28 ans;Horaire Indifférencié;10
SCST01;SCST;Studio-Théâtre;Non différencié;136;INDIVIDUEL;CP008;CH001;Accompagnateur, accompagnatrice sous condition;Horaire Indifférencié;0
SCST01;SCST;Studio-Théâtre;Non différencié;136;ABONNEMENT;CP009;CH001;Carte Adulte;Horaire Indifférencié;23
SCST01;SCST;Studio-Théâtre;Non différencié;136;ABONNEMENT;CP010;CH001;Carte Jeune / Tarif moins de 28 ans;Horaire Indifférencié;13
